Date,Product,Category,Quantity,UnitPrice
2023-01-01,Notebook,Office,2,10
2023-01-01,Headphones,Electronics,3,50
2023-01-01,Hat,Apparel,1,15
2023-01-01,Guidebook,Travel,3,15
2023-01-01,Printer,Office,2,150
2023-01-01,Sandals,Shoes,3,50
2023-01-02,Pen,Office,10,5
2023-01-02,Mouse,Electronics,2,20
2023-01-02,Camera,Electronics,1,400
2023-01-02,Ring,Accessories,1,200
2023-01-03,Backpack,Travel,2,50
2023-01-03,Notebook,Office,2,10
2023-01-03,Jeans,Apparel,3,40
2023-01-03,Mouse,Electronics,2,20
2023-01-04,T-shirt,Apparel,5,20
2023-01-04,Desk,Office,1,200
2023-01-05,Necklace,Accessories,1,150
2023-01-05,Smartwatch,Electronics,2,150
2023-01-05,Running Shoes,Shoes,2,100
2023-01-05,Backpack,Travel,2,50
2023-01-06,Notebook,Office,2,10
2023-01-07,Smartphone,Electronics,2,500
2023-01-07,Skirt,Apparel,3,40
2023-01-08,Map,Travel,5,10
2023-01-08,Book,Office,5,15
2023-01-08,Watch,Accessories,2,80
2023-01-09,Blouse,Apparel,2,25
2023-01-09,Speaker,Electronics,2,100
2023-01-09,Guidebook,Travel,3,15
2023-01-10,Calendar,Office,1,5
2023-01-10,Passport,Travel,2,20
2023-01-10,Dress,Apparel,1,80
2023-01-10,Jeans,Apparel,3,40
2023-01-11,Bracelet,Accessories,3,30
2023-01-11,Desk,Office,1,200
2023-01-12,Keyboard,Electronics,1,80
2023-01-12,Chair,Office,4,100
2023-01-12,Pencil,Office,10,1
2023-01-13,Tablet,Electronics,1,300
2023-01-14,Speaker,Electronics,2,100
2023-01-14,Backpack,Travel,2,50
2023-01-14,Map,Travel,5,10
2023-01-14,Sneakers,Shoes,2,120
2023-01-14,Shoes,Apparel,2,60
2023-01-15,Monitor,Electronics,1,300
2023-01-15,Scarf,Apparel,4,20
2023-01-15,Passport,Travel,2,20
2023-01-15,Sunglasses,Apparel,2,30
2023-01-15,Suitcase,Travel,1,100
2023-01-15,Notebook,Office,2,10